ID	Domain	Phylum	Class	Order	Family	Genus	Species
s_SUB_6_19	d__Bacteria	p__Acidobacteriota	c__Aminicenantia	o__Aminicenantales	f__RBG-16-66-30	g__RBG-16-66-30	s__
s_SUB_6_2	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__VadinHA17	g__LD21	s__
s_SUB_6_20	d__Bacteria	p__Acidobacteriota	c__Aminicenantia	o__UBA2199	f__UBA2199	g__UBA2199	s__
s_SUB_6_22	d__Bacteria	p__Acidobacteriota	c__Thermoanaerobaculia	o__UBA5704	f__UBA5704	g__JAGPDF01	s__
s_SUB_6_29	d__Bacteria	p__Thermodesulfobiota	c__	o__	f__	g__	s__
s_SUB_6_3	d__Bacteria	p__Acidobacteriota	c__Aminicenantia	o__Aminicenantales	f__UBA4085	g__	s__
s_SUB_6_6	d__Bacteria	p__Actinobacteriota	c__UBA4738	o__UBA4738	f__HRBIN12	g__HRBIN12	s__
s_SUB_6_8	d__Bacteria	p__Desulfobacterota	c__Syntrophia	o__Syntrophales	f__Smithellaceae	g__	s__
s_SUB_7_1	d__Bacteria	p__Methylomirabilota	c__Methylomirabilia	o__Methylomirabilales	f__2-02-FULL-66-22	g__2-02-FULL-66-22	s__
s_SUB_7_10	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Xanthobacteraceae	g__	s__
s_SUB_7_12	d__Bacteria	p__Actinobacteriota	c__Thermoleophilia	o__Solirubrobacterales	f__Solirubrobacteraceae	g__JACCYI01	s__
s_SUB_7_6	d__Bacteria	p__Acidobacteriota	c__Blastocatellia	o__Pyrinomonadales	f__Pyrinomonadaceae	g__	s__
s_SUB_8_10	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Xanthobacteraceae	g__Rhodoplanes	s__
s_SUB_8_2	d__Bacteria	p__Chloroflexota	c__Limnocylindria	o__Limnocylindrales	f__CSP1-4	g__Chersky-267	s__
s_SUB_8_7	d__Bacteria	p__Acidobacteriota	c__Blastocatellia	o__Pyrinomonadales	f__Pyrinomonadaceae	g__UBA11740	s__
s_SUB_8_8	d__Bacteria	p__Actinobacteriota	c__Humimicrobiia	o__Humimicrobiales	f__Humimicrobiaceae	g__JAHILC01	s__
s_SUB_8_9	d__Bacteria	p__Actinobacteriota	c__Thermoleophilia	o__Solirubrobacterales	f__70-9	g__VGBV01	s__
s_SUB_9_1	d__Bacteria	p__Gemmatimonadota	c__Gemmatimonadetes	o__Gemmatimonadales	f__Gemmatimonadaceae	g__UBA4720	s__
s_SUB_9_14	d__Bacteria	p__Acidobacteriota	c__Thermoanaerobaculia	o__UBA5066	f__UBA5066	g__Fen-183	s__
s_SUB_9_16	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Steroidobacterales	f__Steroidobacteraceae	g__ZC4RG30	s__
s_SUB_9_17	d__Bacteria	p__Chloroflexota	c__Anaerolineae	o__Thermoflexales	f__Fen-1058	g__JADGQE01	s__
s_SUB_9_18	d__Bacteria	p__Gemmatimonadota	c__Gemmatimonadetes	o__Gemmatimonadales	f__Gemmatimonadaceae	g__UBA4720	s__
s_SUB_9_2	d__Bacteria	p__Actinobacteriota	c__Thermoleophilia	o__RBG-16-64-13	f__RBG-16-64-13	g__	s__
s_SUB_9_5	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Burkholderiales	f__Gallionellaceae	g__Sideroxydans	s__
s_SUB_9_9	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Burkholderiales	f__Methylophilaceae	g__JABFRO01	s__
s_SUR_11_1	d__Bacteria	p__Desulfobacterota_E	c__MBNT15	o__MBNT15	f__MBNT15	g__CG2-30-66-27	s__
s_SUR_12_4	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Methyloligellaceae	g__Methyloceanibacter	s__
s_SUR_13_1	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Methyloligellaceae	g__Methyloceanibacter	s__
s_SUR_16_2	d__Bacteria	p__Actinobacteriota	c__Thermoleophilia	o__RBG-16-64-13	f__RBG-16-64-13	g__	s__
s_SUR_16_7	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Burkholderiales	f__Burkholderiaceae	g__JACCZX01	s__
s_SUR_16_8	d__Bacteria	p__Actinobacteriota	c__UBA4738	o__UBA4738	f__HRBIN12	g__DSRY01	s__
s_SUR_16_9	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Xanthobacteraceae	g__Rhodoplanes	s__
s_SUR_17_2	d__Bacteria	p__Actinobacteriota	c__Thermoleophilia	o__Solirubrobacterales	f__70-9	g__VGBV01	s__
s_SUR_17_3	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Aestuariivirgaceae	g__Aestuariivirga	s__
s_SUR_18_1	d__Bacteria	p__Actinobacteriota	c__Thermoleophilia	o__Solirubrobacterales	f__70-9	g__WHSW01	s__
s_SUR_18_2	d__Bacteria	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Aerococcaceae	g__Trichococcus	s__
s_SUR_18_3	d__Bacteria	p__Acidobacteriota	c__Thermoanaerobaculia	o__UBA5704	f__UBA5704	g__UBA5704	s__
s_SUR_19_2	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Methyloligellaceae	g__Methyloceanibacter	s__
s_SUR_19_3	d__Bacteria	p__Actinobacteriota	c__Thermoleophilia	o__Solirubrobacterales	f__Thermoleophilaceae	g__JACVRW01	s__
s_SUR_1_1	d__Bacteria	p__Actinobacteriota	c__Thermoleophilia	o__Solirubrobacterales	f__Solirubrobacteraceae	g__	s__
s_SUR_21_5	d__Bacteria	p__Acidobacteriota	c__Thermoanaerobaculia	o__Gp7-AA8	f__Gp7-AA8	g__QHVT01	s__
s_SUR_22_1	d__Bacteria	p__Actinobacteriota	c__Thermoleophilia	o__Solirubrobacterales	f__70-9	g__	s__
s_SUR_24_2	d__Bacteria	p__Actinobacteriota	c__Thermoleophilia	o__Solirubrobacterales	f__Thermoleophilaceae	g__JACVRW01	s__
s_SUR_24_4	d__Bacteria	p__Actinobacteriota	c__Thermoleophilia	o__Gaiellales	f__Gaiellaceae	g__	s__
s_SUR_24_5	d__Bacteria	p__Actinobacteriota	c__Rubrobacteria	o__Rubrobacterales	f__Rubrobacteraceae	g__SCSIO-52915	s__
s_SUR_24_7	d__Bacteria	p__Actinobacteriota	c__Thermoleophilia	o__Gaiellales	f__Gaiellaceae	g__GMQP-bins7	s__
s_SUR_2_2	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhodospirillales	f__UXAT02	g__SSA4	s__
s_SUR_2_3	d__Bacteria	p__Actinobacteriota	c__Actinomycetia	o__Mycobacteriales	f__Mycobacteriaceae	g__Mycobacterium	s__
s_SUR_2_5	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Burkholderiales	f__Burkholderiaceae	g__JACCZX01	s__
s_SUR_2_8	d__Bacteria	p__Actinobacteriota	c__Actinomycetia	o__Propionibacteriales	f__Nocardioidaceae	g__Marmoricola	s__
s_SUR_6_2	d__Bacteria	p__Actinobacteriota	c__Thermoleophilia	o__Solirubrobacterales	f__70-9	g__VGBV01	s__
s_SUR_8_1	d__Bacteria	p__Actinobacteriota	c__Thermoleophilia	o__Solirubrobacterales	f__70-9	g__VGBV01	s__
s_SUR_8_11	d__Bacteria	p__Actinobacteriota	c__Thermoleophilia	o__Solirubrobacterales	f__Thermoleophilaceae	g__JACVRW01	s__
s_SUR_8_2	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhodospirillales	f__UXAT02	g__JAEULH01	s__
s_SUR_8_3	d__Bacteria	p__Actinobacteriota	c__Thermoleophilia	o__Solirubrobacterales	f__Solirubrobacteraceae	g__JACCYI01	s__
s_SUR_8_5	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhodospirillales	f__UXAT02	g__SSA4	s__
s_PL_24_7	d__Archaea	p__Thermoproteota	c__Nitrososphaeria	o__Nitrososphaerales	f__Nitrososphaeraceae	g__TA-21	s__
s_PL_3_12	d__Archaea	p__Halobacteriota	c__Bog-38	o__Bog-38	f__Bog-38	g__Bog-38	s__
s_PL_4_8	d__Archaea	p__Halobacteriota	c__Methanosarcinia	o__Methanosarcinales	f__Methanoperedenaceae	g__Methanoperedens	s__
s_PL_5_12	d__Archaea	p__Thermoproteota	c__Nitrososphaeria	o__Nitrososphaerales	f__Nitrososphaeraceae	g__TH1177	s__
s_PL_6_29	d__Archaea	p__Halobacteriota	c__Methanosarcinia	o__Methanosarcinales	f__Methanoperedenaceae	g__Methanoperedens	s__Methanoperedens sp905339155
s_PL_7_15	d__Archaea	p__Thermoproteota	c__Nitrososphaeria	o__Nitrososphaerales	f__Nitrosopumilaceae	g__Nitrosarchaeum	s__
s_PL_7_17	d__Archaea	p__Thermoplasmatota	c__Thermoplasmata	o__	f__	g__	s__
s_PL_7_20	d__Archaea	p__Thermoproteota	c__Nitrososphaeria	o__Nitrososphaerales	f__Nitrososphaeraceae	g__TA-21	s__
s_PL_8_13	d__Archaea	p__Thermoproteota	c__Bathyarchaeia	o__B26-1	f__UBA233	g__PALSA-986	s__
s_PL_8_2	d__Archaea	p__Halobacteriota	c__Bog-38	o__Bog-38	f__Bog-38	g__Bog-38	s__Bog-38 sp003170935
s_PL_8_6	d__Archaea	p__Halobacteriota	c__Methanomicrobia	o__Methanomicrobiales	f__Methanosphaerulaceae	g__UBA288	s__
s_PL_9_7	d__Archaea	p__Thermoproteota	c__Bathyarchaeia	o__B26-1	f__UBA233	g__PALSA-986	s__
s_SUB_18_9	d__Archaea	p__Thermoproteota	c__Nitrososphaeria	o__Nitrososphaerales	f__Nitrososphaeraceae	g__TH5896	s__
s_SUB_20_1	d__Archaea	p__Thermoproteota	c__Nitrososphaeria	o__Nitrososphaerales	f__Nitrososphaeraceae	g__TA-21	s__
s_SUB_22_4	d__Archaea	p__Thermoproteota	c__Nitrososphaeria	o__Nitrososphaerales	f__Nitrososphaeraceae	g__TA-21	s__TA-21 sp014381105
s_SUB_2_11	d__Archaea	p__Halobacteriota	c__Bog-38	o__Bog-38	f__Bog-38	g__Bog-38	s__
s_SUB_6_30	d__Archaea	p__Halobacteriota	c__Methanosarcinia	o__Methanotrichales	f__Methanotrichaceae	g__Methanothrix	s__
s_SUR_12_8	d__Archaea	p__Thermoproteota	c__Nitrososphaeria	o__Nitrososphaerales	f__Nitrososphaeraceae	g__TH1177	s__
s_SUR_15_6	d__Archaea	p__Thermoproteota	c__Nitrososphaeria	o__Nitrososphaerales	f__Nitrososphaeraceae	g__TH1177	s__
s_SUR_20_5	d__Archaea	p__Thermoproteota	c__Nitrososphaeria	o__Nitrososphaerales	f__Nitrososphaeraceae	g__TH1177	s__
